id,class,petal_length,petal_width,sepal_length,sepal_width,cluster_kmeans3
1,0,1.4,0.2,5.1,3.5,1
2,0,1.4,0.2,4.9,3.0,1
3,0,1.3,0.2,4.7,3.2,1
4,0,1.5,0.2,4.6,3.1,1
5,0,1.4,0.2,5.0,3.6,1
6,0,1.7,0.4,5.4,3.9,1
7,0,1.4,0.3,4.6,3.4,1
8,0,1.5,0.2,5.0,3.4,1
9,0,1.4,0.2,4.4,2.9,1
10,0,1.5,0.1,4.9,3.1,1
11,0,1.5,0.2,5.4,3.7,1
12,0,1.6,0.2,4.8,3.4,1
13,0,1.4,0.1,4.8,3.0,1
14,0,1.1,0.1,4.3,3.0,1
15,0,1.2,0.2,5.8,4.0,1
16,0,1.5,0.4,5.7,4.4,1
17,0,1.3,0.4,5.4,3.9,1
18,0,1.4,0.3,5.1,3.5,1
19,0,1.7,0.3,5.7,3.8,1
20,0,1.5,0.3,5.1,3.8,1
21,0,1.7,0.2,5.4,3.4,1
22,0,1.5,0.4,5.1,3.7,1
23,0,1.0,0.2,4.6,3.6,1
24,0,1.7,0.5,5.1,3.3,1
25,0,1.9,0.2,4.8,3.4,1
26,0,1.6,0.2,5.0,3.0,1
27,0,1.6,0.4,5.0,3.4,1
28,0,1.5,0.2,5.2,3.5,1
29,0,1.4,0.2,5.2,3.4,1
30,0,1.6,0.2,4.7,3.2,1
31,0,1.6,0.2,4.8,3.1,1
32,0,1.5,0.4,5.4,3.4,1
33,0,1.5,0.1,5.2,4.1,1
34,0,1.4,0.2,5.5,4.2,1
35,0,1.5,0.1,4.9,3.1,1
36,0,1.2,0.2,5.0,3.2,1
37,0,1.3,0.2,5.5,3.5,1
38,0,1.5,0.1,4.9,3.1,1
39,0,1.3,0.2,4.4,3.0,1
40,0,1.5,0.2,5.1,3.4,1
41,0,1.3,0.3,5.0,3.5,1
42,0,1.3,0.3,4.5,2.3,1
43,0,1.3,0.2,4.4,3.2,1
44,0,1.6,0.6,5.0,3.5,1
45,0,1.9,0.4,5.1,3.8,1
46,0,1.4,0.3,4.8,3.0,1
47,0,1.6,0.2,5.1,3.8,1
48,0,1.4,0.2,4.6,3.2,1
49,0,1.5,0.2,5.3,3.7,1
50,0,1.4,0.2,5.0,3.3,1
51,1,4.7,1.4,7.0,3.2,0
52,1,4.5,1.5,6.4,3.2,0
53,1,4.9,1.5,6.9,3.1,0
54,1,4.0,1.3,5.5,2.3,0
55,1,4.6,1.5,6.5,2.8,0
56,1,4.5,1.3,5.7,2.8,0
57,1,4.7,1.6,6.3,3.3,0
58,1,3.3,1.0,4.9,2.4,0
59,1,4.6,1.3,6.6,2.9,0
60,1,3.9,1.4,5.2,2.7,0
61,1,3.5,1.0,5.0,2.0,0
62,1,4.2,1.5,5.9,3.0,0
63,1,4.0,1.0,6.0,2.2,0
64,1,4.7,1.4,6.1,2.9,0
65,1,3.6,1.3,5.6,2.9,0
66,1,4.4,1.4,6.7,3.1,0
67,1,4.5,1.5,5.6,3.0,0
68,1,4.1,1.0,5.8,2.7,0
69,1,4.5,1.5,6.2,2.2,0
70,1,3.9,1.1,5.6,2.5,0
71,1,4.8,1.8,5.9,3.2,0
72,1,4.0,1.3,6.1,2.8,0
73,1,4.9,1.5,6.3,2.5,0
74,1,4.7,1.2,6.1,2.8,0
75,1,4.3,1.3,6.4,2.9,0
76,1,4.4,1.4,6.6,3.0,0
77,1,4.8,1.4,6.8,2.8,0
78,1,5.0,1.7,6.7,3.0,2
79,1,4.5,1.5,6.0,2.9,0
